date,close,open,fibre
2000-01-01,0,193,0
2001-06-01,0,196,0
2002-06-01,0,200,0
2003-06-01,0,204,0
2004-06-01,0,207,0
2005-06-01,0,203,0
2006-06-01,0,207,0
2007-06-01,0,204,0
2008-06-01,0,206,0
2009-06-01,0,210,0
2010-06-01,0,220,0
2011-06-01,0,230,0
2012-06-01,0,230,0
2013-06-01,0,223,0
2014-06-01,0.5015,220,0.9
2015-06-01,1.3962,223,1.1
2016-06-01,2.4009,222,2.0
2017-06-01,3.4481,221,3.0
2018-06-01,4.460,215,4.0
2019-06-01,5.350,209,5.9
2020-06-01,6.140,207,8.1
