date,value
2012-06-01,0
2013-06-01,0
2014-10-01,0.9
2015-01-01,1.0
2015-04-01,1.1
2015-07-01,1.2
2015-10-01,1.4
2016-01-01,1.6
2016-04-01,1.8
2016-07-01,2.0
2016-10-01,2.2
2017-01-01,2.4
2017-04-01,2.7
2017-07-01,3.0
2017-10-01,3.3
2018-01-01,3.6
2018-04-01,4.0
2018-07-01,4.4
2018-10-01,4.8
2019-01-01,5.2
2019-04-01,5.9
2019-07-01,6.5
2019-10-01,7.1
2020-01-01,7.3
