date,value
2012-01-01,0
2013-06-01,0
2014-06-01,0.5015
2015-06-01,1.3962
2016-06-01,2.4009
2017-06-01,3.4481
2018-06-01,4.460
2019-06-01,5.350
2020-01-01,6.1



