date,value
1999-01-01,190
2000-01-01,193
2001-01-01,196
2002-01-01,200
2003-01-01,204
2004-01-01,207
2005-01-01,203
2006-01-01,207
2007-01-01,204
2008-01-01,206
2009-01-01,210
2010-01-01,220
2011-01-01,230
2012-01-01,230
2013-01-01,223
2014-01-01,220
2015-01-01,223
2016-01-01,222
2017-01-01,221
2018-01-01,215
2019-01-01,209




